index,d1,d2,number of calculations,point type,Cids (may be more than one)
0,539.512024,411.975006,41,1,1
1,542.241028,147.62600700000002,18,1,1
2,653.4689940000001,370.727997,24,1,1
3,598.585999,284.882996,16,1,1
4,573.062988,294.56298799999996,24,1,1
5,139.570007,401.381012,9,1,2
6,228.97000099999997,281.992004,9,1,3
7,305.747009,94.350998,18,1,1
8,610.617004,167.190002,21,1,1
9,500.450012,118.780998,14,1,1
10,341.804993,361.755005,12,1,4
11,128.582993,81.59899899999999,17,1,1
12,39.105,381.26599100000004,5,1,5
13,294.911987,421.48001100000005,9,1,6
14,189.21400500000001,322.730011,10,1,7
15,251.88900800000002,69.384003,25,1,1
16,116.09899899999999,296.382996,10,1,8
17,86.839996,307.89801,4,1,9
18,509.27200300000004,429.165985,19,1,1
19,90.306999,73.486,33,1,1
20,269.27099599999997,163.341995,14,1,1
21,137.112,289.68899500000003,9,1,10
22,63.613997999999995,406.865997,9,1,11
23,224.473007,92.762001,25,1,1
24,345.22601299999997,306.391998,15,1,1
25,188.507996,282.093994,10,1,6
26,531.2189940000001,468.52499400000005,15,1,1
27,47.276001,338.06399500000003,8,1,12
28,543.882019,319.738007,21,1,1
29,379.93798799999996,97.189003,15,1,1
30,84.78600300000001,158.792007,9,1,13
31,542.72998,307.096008,15,1,1
32,430.753998,387.63501,16,1,1
33,578.630005,455.946991,31,1,1
34,374.85900899999996,346.17099,11,1,4
35,185.274002,91.510002,21,1,1
36,561.465027,397.192993,41,1,1
37,164.585999,286.822998,9,1,7
38,131.626999,166.382004,9,1,6
39,377.093994,66.89299799999999,10,1,14
40,386.608002,289.194,26,1,1
41,531.517029,393.152008,36,1,1
42,157.626999,205.548004,8,1,6
43,181.292999,148.632996,19,1,1
44,496.5,219.106995,17,1,1
45,596.487,299.589996,28,1,1
46,545.2529910000001,396.721985,27,1,1
47,388.90100099999995,386.545013,20,1,4
48,512.94397,271.19101,22,1,1
49,589.398987,453.752991,26,1,1
50,310.58700600000003,434.139008,10,1,6
51,228.186005,404.26599100000004,7,1,7
52,506.63500999999997,61.938,12,1,14
53,90.807999,151.570999,10,1,7
54,506.35598799999997,340.463989,39,1,1
55,253.46699500000003,414.664001,10,1,7
56,572.642029,309.684998,26,1,1
57,456.951996,309.30899,40,1,1
58,656.77301,117.589996,12,1,14
59,99.839996,113.858002,16,1,4
60,536.731018,342.661987,28,1,1
61,563.982971,190.30599999999998,15,1,1
62,320.544006,334.01901200000003,14,1,4
63,129.748001,415.173004,7,1,15
64,564.97699,405.80899,36,1,1
65,626.1680299999999,325.358002,16,1,1
66,170.098007,278.63198900000003,12,1,7
67,243.063004,441.615997,12,1,13
68,441.85598799999997,166.511993,20,1,1
69,641.4580080000001,402.427002,15,1,1
70,165.67700200000002,258.36801099999997,9,1,7
71,615.776001,123.528999,14,1,14
72,47.348,173.026993,6,1,16
73,286.177002,342.243988,8,1,3
74,42.349998,154.636002,6,1,16
75,163.807999,359.445007,11,1,10
76,148.070007,264.644989,15,1,7
77,473.19299299999994,318.136993,39,1,1
78,110.273003,148.951004,14,1,6
79,154.587997,342.12399300000004,13,1,10
80,216.731003,284.403015,11,1,6
81,188.03100600000002,106.501999,19,1,1
82,626.596985,408.74301099999997,19,1,1
83,145.341003,168.382004,14,1,4
84,617.981018,186.985001,30,1,1
85,223.218002,98.852997,21,1,1
86,646.9520259999999,121.884003,14,1,14
87,613.054993,198.557007,24,1,1
88,217.100006,353.244995,5,1,7
89,238.94400000000002,336.570007,7,1,6
90,476.22000099999997,155.419998,23,1,1
91,169.203995,62.771,26,1,1
92,21.128,311.597992,3,0,51
93,75.241997,182.811005,18,1,8
94,353.394989,417.424011,22,1,4
95,129.201004,68.598,19,1,1
96,170.35699499999998,371.300995,15,1,10
97,320.928009,424.826996,16,1,6
98,516.401978,86.344002,16,1,14
99,359.77600099999995,423.584015,16,1,4
100,638.393982,86.559998,13,1,14
101,150.483002,75.369003,30,1,1
102,600.05603,427.462006,32,1,1
103,547.299988,454.506012,21,1,1
104,135.699997,272.295013,9,1,10
105,369.291992,363.919006,19,1,4
106,127.582001,87.001999,35,1,1
107,558.185974,327.880005,20,1,1
108,297.02099599999997,261.791992,16,1,1
109,160.970993,335.471008,14,1,10
110,228.67700200000002,408.656006,12,1,7
111,303.339996,79.885002,24,1,1
112,199.936996,144.559998,37,1,1
113,126.147003,426.47799699999996,9,1,17
114,536.09198,243.266998,26,1,1
115,211.455994,169.44400000000002,21,1,1
116,628.419006,173.817001,17,1,1
117,555.273987,280.16299399999997,26,1,1
118,284.822998,433.44198600000004,9,1,7
119,205.84399399999998,156.134995,32,1,1
120,252.940002,342.634003,11,1,6
121,289.777008,85.092003,19,1,1
122,161.942001,107.855003,16,1,1
123,678.869995,439.98498499999994,24,1,1
124,668.520996,441.214996,28,1,1
