index,d1,d2,number of calculations,point type,Cids (may be more than one)
0,660.9760000000001,304.225,10,1,1
1,636.2130000000001,306.17400000000004,13,1,1
2,662.753,307.565,8,1,1
3,657.487,307.74,18,1,1
4,635.273,308.157,21,1,1
5,640.484,309.592,15,1,1
6,660.523,309.613,17,1,1
7,658.7589999999999,312.594,15,1,1
8,674.821,315.093,16,1,1
9,649.17,316.17400000000004,20,1,1
10,631.8580000000001,316.908,21,1,1
11,673.5060000000001,317.64799999999997,14,1,1
12,637.439,318.289,17,1,1
13,644.003,320.565,16,1,1
14,622.679,320.843,14,1,1
15,655.5039999999999,320.916,14,1,1
16,626.318,321.78,9,1,1
17,633.245,322.492,14,1,1
18,678.36,323.472,13,1,1
19,637.081,323.619,15,1,1
20,653.0790000000001,324.434,15,1,1
21,639.035,324.52299999999997,13,1,1
22,680.9780000000001,324.66900000000004,13,1,1
23,644.6469999999999,325.905,18,1,1
24,652.268,326.389,20,1,1
25,665.755,327.567,15,1,1
26,675.27,327.608,21,1,1
27,631.2130000000001,327.95,12,1,1
28,643.6,328.542,11,1,1
29,668.535,329.06,14,1,1
30,658.985,329.159,18,1,1
31,651.423,329.337,18,1,1
32,646.127,329.86199999999997,10,1,1
33,683.672,330.534,15,1,1
34,666.442,331.63699999999994,16,1,1
35,682.4780000000001,331.858,18,1,1
36,640.783,333.145,13,1,1
37,649.948,333.168,11,1,1
38,663.551,333.265,21,1,1
39,624.4630000000001,333.342,15,1,1
40,645.513,334.213,14,1,1
41,632.5269999999999,334.935,15,1,1
42,639.9590000000001,335.24199999999996,14,1,1
43,670.422,336.60699999999997,20,1,1
44,647.217,340.10699999999997,14,1,1
45,685.94,340.389,18,1,1
46,620.7769999999999,341.34,19,1,1
47,618.936,341.409,20,1,1
48,679.985,341.54699999999997,21,1,1
49,627.3240000000001,341.603,16,1,1
50,639.4159999999999,342.035,15,1,1
51,622.928,342.459,19,1,1
52,662.056,342.529,14,1,1
53,676.4839999999999,342.75,16,1,1
54,642.366,345.06300000000005,20,1,1
55,639.621,345.60900000000004,16,1,1
56,630.04,346.56800000000004,20,1,1
57,646.7,346.681,18,1,1
58,625.2090000000001,346.77099999999996,9,1,1
59,650.768,347.282,15,1,1
60,672.056,347.548,15,1,1
61,629.259,347.76599999999996,14,1,1
62,654.751,347.881,14,1,1
63,656.628,348.501,13,1,1
64,660.1339999999999,348.671,13,1,1
65,667.9839999999999,349.415,13,1,1
66,642.738,349.95099999999996,16,1,1
67,652.024,349.986,17,1,1
68,671.291,350.525,11,1,1
69,637.7909999999999,350.903,20,1,1
70,649.556,351.032,17,1,1
71,654.5169999999999,352.398,22,1,1
72,659.8380000000001,353.26199999999994,15,1,1
73,648.966,356.048,19,1,1
74,669.789,357.397,15,1,1
75,665.373,359.92900000000003,17,1,1
76,624.855,360.42400000000004,9,1,1
77,662.42,360.72,16,1,1
78,626.761,363.811,10,1,1
79,667.14,364.033,14,1,1
80,637.609,364.50300000000004,15,1,1
81,648.763,364.824,13,1,1
82,638.5830000000001,365.65,18,1,1
83,666.2539999999999,366.73800000000006,20,1,1
84,653.469,370.728,6,1,1
85,650.43,371.57199999999995,15,1,1
86,661.43,372.276,12,1,1
87,153.879,308.064,7,1,2
88,178.29,308.199,5,1,3
89,166.838,308.485,6,1,4
90,153.41,309.122,6,1,2
91,153.636,309.867,6,1,2
92,148.658,310.89799999999997,10,1,5
93,170.83,311.777,5,1,4
94,181.997,312.281,5,1,6
95,151.534,315.214,9,1,5
96,158.234,316.942,7,1,2
97,156.903,318.774,8,1,5
98,131.505,318.993,12,1,7
99,171.829,319.959,9,1,4
100,188.385,321.231,7,1,6
101,175.09400000000002,321.902,4,1,4
102,149.332,322.096,9,1,5
103,132.401,322.735,10,1,7
104,150.44899999999998,322.89,9,1,5
105,172.762,324.57599999999996,6,1,4
106,178.86,324.684,6,1,4
107,129.898,326.107,10,1,7
108,140.855,327.58299999999997,5,1,8
109,167.174,328.26300000000003,9,1,4
110,163.921,328.34,7,1,2
111,145.89700000000002,328.55800000000005,7,1,9
112,180.488,328.61800000000005,6,1,4
113,125.823,328.684,5,1,7
114,154.945,329.416,11,1,5
115,188.03099999999998,330.014,6,1,3
116,174.68200000000002,330.31800000000004,5,1,4
117,162.439,330.402,8,1,5
118,128.484,330.468,12,1,7
119,156.03,330.695,9,1,5
120,187.15200000000002,331.22900000000004,4,1,10
121,168.092,331.83,7,1,4
122,129.107,332.022,10,1,7
123,129.6,333.61,12,1,7
124,158.713,334.341,10,1,5
125,169.774,334.662,10,1,4
126,191.52,334.977,7,1,3
127,133.87,335.02,9,1,7
128,160.971,335.471,11,1,5
129,185.668,335.60400000000004,7,1,4
130,200.468,335.644,2,0,41
131,164.317,335.97,7,1,5
132,142.494,336.65,6,1,11
133,197.979,337.75699999999995,7,1,6
134,192.739,338.01599999999996,6,1,3
135,123.22,338.79400000000004,5,1,12
136,132.062,338.832,9,1,7
137,184.485,339.211,4,1,4
138,162.725,339.915,14,1,5
139,136.333,340.32800000000003,9,1,7
140,167.75900000000001,340.476,8,1,5
141,188.627,340.491,6,1,4
142,166.321,342.129,8,1,5
143,159.85299999999998,342.33099999999996,9,1,5
144,193.875,342.38199999999995,4,1,10
145,152.072,342.404,7,1,9
146,197.02900000000002,342.74300000000005,4,1,3
147,132.796,343.35900000000004,11,1,7
148,176.53,343.54699999999997,9,1,4
149,179.363,343.574,7,1,4
150,178.037,343.67199999999997,10,1,4
151,152.655,345.18199999999996,8,1,9
152,165.12099999999998,345.51300000000003,12,1,5
153,162.034,345.99699999999996,10,1,5
154,125.206,346.962,5,1,12
155,171.972,349.879,9,1,5
156,191.18099999999998,349.959,5,1,4
157,161.773,350.404,11,1,5
158,168.82299999999998,350.884,9,1,5
159,127.32700000000001,350.908,6,1,12
160,182.90099999999998,351.725,10,1,4
161,183.61700000000002,352.579,9,1,4
162,175.56799999999998,353.93199999999996,6,1,2
163,156.466,354.278,6,1,9
164,159.181,354.44699999999995,2,-1,-1
165,184.109,355.875,10,1,4
166,144.13299999999998,356.156,9,1,7
167,163.283,357.159,6,1,5
168,174.195,357.18699999999995,7,1,5
169,185.03799999999998,359.301,9,1,4
170,146.451,359.416,7,1,7
171,142.97799999999998,361.95,8,1,7
172,134.44299999999998,361.955,5,1,13
173,194.452,363.12300000000005,8,1,4
174,144.727,363.41,9,1,7
175,172.19299999999998,364.85900000000004,9,1,5
176,142.127,365.116,9,1,7
177,186.49200000000002,366.13599999999997,9,1,4
178,163.71,366.165,3,-1,-1
179,154.58100000000002,366.17699999999996,7,1,11
180,141.47799999999998,367.346,8,1,7
181,139.80700000000002,367.959,3,0,7
182,147.813,369.185,9,1,7
183,138.191,369.528,7,1,13
184,156.592,370.709,7,1,11
185,138.571,371.407,8,1,13
186,176.65,371.485,12,1,5
187,157.497,371.658,6,1,11
188,183.168,372.223,8,1,5
189,170.31099999999998,372.819,5,1,5
190,181.36599999999999,373.85400000000004,5,1,5
191,151.856,375.167,8,1,7
192,165.88299999999998,375.17400000000004,8,1,9
193,177.62900000000002,375.408,11,1,5
194,155.613,377.032,10,1,7
195,152.47899999999998,377.285,9,1,7
196,155.358,377.92900000000003,13,1,7
197,179.727,378.36400000000003,10,1,5
198,147.366,379.11400000000003,12,1,7
199,162.91,380.56699999999995,4,1,8
200,337.718,305.692,12,1,14
201,338.624,306.106,12,1,14
202,329.298,307.033,12,1,14
203,322.76,307.04400000000004,11,1,14
204,342.994,310.67,10,1,14
205,351.88699999999994,311.603,6,1,14
206,333.539,311.89,11,1,14
207,333.86800000000005,312.928,12,1,14
208,319.884,313.587,11,1,15
209,335.147,314.89099999999996,11,1,14
210,321.18,315.663,15,1,15
211,325.111,316.065,9,1,15
212,328.436,316.801,12,1,14
213,356.246,320.10900000000004,12,1,14
214,357.73900000000003,321.053,9,1,14
215,341.53,321.295,11,1,14
216,309.119,321.986,10,1,15
217,367.37,322.193,13,1,14
218,314.309,322.42900000000003,8,1,15
219,324.70599999999996,322.709,10,1,15
220,315.665,323.192,8,1,15
221,350.74800000000005,323.82099999999997,10,1,14
222,366.213,324.547,6,1,14
223,369.885,325.10400000000004,12,1,14
224,345.19300000000004,326.957,5,1,14
225,323.16700000000003,328.54400000000004,10,1,15
226,352.14599999999996,328.86199999999997,12,1,14
227,353.39599999999996,329.17,14,1,14
228,319.29400000000004,329.545,11,1,15
229,332.038,329.56699999999995,12,1,15
230,334.586,329.56699999999995,17,1,15
231,355.725,329.73699999999997,12,1,14
232,364.51300000000003,330.463,10,1,14
233,376.024,330.619,12,1,14
234,371.565,331.405,8,1,14
235,345.661,333.121,12,1,14
236,342.26099999999997,333.749,13,1,15
237,320.54400000000004,334.019,11,1,15
238,370.213,334.86699999999996,13,1,14
239,371.977,335.02,13,1,14
240,336.719,335.23699999999997,9,1,15
241,359.63199999999995,336.22900000000004,11,1,14
242,330.69300000000004,336.87199999999996,8,1,15
243,303.768,337.46,10,1,16
244,344.49,338.30300000000005,14,1,15
245,323.992,338.852,11,1,15
246,343.402,339.059,16,1,15
247,334.99300000000005,339.566,11,1,15
248,318.342,340.531,5,1,16
249,311.678,340.689,6,1,16
250,307.329,340.702,9,1,16
251,373.097,340.76300000000003,7,1,14
252,354.668,341.4,12,1,14
253,368.18800000000005,341.876,13,1,14
254,342.46,342.19300000000004,6,1,15
255,295.095,342.319,11,1,17
256,349.37800000000004,342.593,10,1,15
257,331.04699999999997,343.17900000000003,11,1,15
258,304.788,343.217,8,1,16
259,306.04,344.25,8,1,16
260,371.168,345.096,13,1,14
261,300.119,345.111,5,1,17
262,357.02,345.129,9,1,14
263,318.411,345.202,10,1,16
264,310.51099999999997,345.281,10,1,16
265,312.171,345.92800000000005,9,1,16
266,338.189,348.67199999999997,11,1,15
267,312.98,349.579,9,1,16
268,361.789,349.98900000000003,9,1,14
269,328.63800000000003,350.035,8,1,16
270,301.754,350.545,10,1,17
271,336.07800000000003,350.88199999999995,11,1,15
272,340.12199999999996,351.18800000000005,12,1,15
273,349.13199999999995,351.455,10,1,15
274,361.162,352.626,13,1,15
275,316.539,353.64,8,1,16
276,327.318,353.69199999999995,9,1,16
277,316.02099999999996,354.83,9,1,16
278,368.832,354.848,12,1,14
279,362.76300000000003,354.907,12,1,15
280,338.88300000000004,358.015,5,1,16
281,326.846,358.51199999999994,9,1,16
282,365.499,359.163,14,1,15
283,341.805,361.755,7,1,16
284,309.967,361.84,9,1,17
285,337.131,362.059,6,1,16
286,330.765,363.64599999999996,8,1,16
287,308.677,364.606,13,1,17
288,304.473,365.00800000000004,3,0,18
289,309.395,365.09,14,1,17
290,314.83299999999997,365.398,10,1,17
291,308.096,366.369,5,1,18
292,346.037,366.652,9,1,16
293,339.705,367.92800000000005,11,1,16
294,317.885,368.54400000000004,10,1,17
295,340.25800000000004,369.25199999999995,10,1,16
296,343.329,369.994,8,1,16
297,347.61699999999996,370.365,9,1,16
298,315.04900000000004,372.45300000000003,12,1,17
299,351.49,372.81199999999995,10,1,16
300,321.703,372.978,10,1,17
301,327.57599999999996,373.535,6,1,16
302,313.86,374.769,6,1,18
303,358.55400000000003,376.035,8,1,15
304,345.291,376.26599999999996,6,1,16
305,322.171,376.74,10,1,17
306,331.361,377.574,8,1,16
307,349.63300000000004,380.861,7,1,16
308,326.059,381.23900000000003,10,1,17
309,321.474,383.121,7,1,18
310,465.741,40.126999999999995,2,-1,-1
311,482.45599999999996,41.754,2,-1,-1
312,477.01099999999997,43.278999999999996,1,-1,-1
313,476.6,45.718,3,-1,-1
314,488.985,46.419,3,-1,-1
315,490.389,46.648999999999994,3,-1,-1
316,459.98900000000003,48.062,1,-1,-1
317,451.67199999999997,48.477,6,1,19
318,447.60400000000004,51.803999999999995,9,1,20
319,456.12,52.193000000000005,8,1,20
320,447.401,52.68,6,1,20
321,489.694,53.468999999999994,8,1,19
322,489.32300000000004,53.989,7,1,19
323,474.73800000000006,54.167,8,1,20
324,468.284,54.236999999999995,9,1,20
325,487.319,54.287,3,0,19
326,478.584,54.568000000000005,8,1,20
327,517.589,55.821999999999996,7,1,19
328,490.101,56.147,8,1,20
329,516.314,56.174,8,1,19
330,453.824,56.455,8,1,21
331,464.63800000000003,57.016999999999996,8,1,21
332,445.339,57.294,10,1,21
333,507.47,57.687,6,1,20
334,480.505,59.468,9,1,21
335,454.31,59.578,3,0,21
336,446.98900000000003,60.668,6,1,22
337,520.495,60.696999999999996,6,1,20
338,457.219,61.058,7,1,22
339,501.55,61.489,8,1,21
340,508.426,61.924,7,1,21
341,447.115,62.044,12,1,22
342,442.165,62.166000000000004,12,1,22
343,498.974,62.522,7,1,21
344,463.971,62.675,9,1,22
345,519.726,64.11399999999999,9,1,21
346,467.81300000000005,64.479,8,1,22
347,509.907,64.625,8,1,21
348,515.12,66.087,10,1,21
349,485.224,67.012,11,1,22
350,452.837,67.247,8,1,23
351,502.67400000000004,67.575,8,1,22
