index,d1,d2,number of calculations,point type,Cids (may be more than one)
0,0.9083985761820421,0.41810528194515645,10,1,1
1,0.9010851232702916,0.433642249580185,13,1,1
2,0.9070830551895043,0.42095169673975047,8,1,1
3,0.9057007369586392,0.42391765128687203,18,1,1
4,0.8997330017440939,0.43644074692054396,21,1,1
5,0.9003353302045519,0.43519684418141225,15,1,1
6,0.9054627059715478,0.42442583344405693,17,1,1
7,0.9034456711333768,0.42870260007418015,15,1,1
8,0.9060922849105005,0.42308010024777587,16,1,1
9,0.8990380156709656,0.437870581768646,20,1,1
10,0.8938725187614216,0.44832122435047844,21,1,1
11,0.9044541359299789,0.42657088039287827,14,1,1
12,0.8946687493270276,0.44673015230406404,17,1,1
13,0.8952245122308945,0.44561538651729365,16,1,1
14,0.8889344684272801,0.45803439919061645,14,1,1
15,0.8981423564974745,0.43970479581778843,14,1,1
16,0.8894762560143782,0.45698138910314984,9,1,1
17,0.8910989720186022,0.45380901496928217,14,1,1
18,0.9026313588611473,0.430414486280932,13,1,1
19,0.8915662662048194,0.4528902659205618,15,1,1
20,0.8955791326217913,0.44490225579603426,15,1,1
21,0.8916161627548558,0.4527920254535261,13,1,1
22,0.9026578156122596,0.43035899887664025,13,1,1
23,0.8924351358378795,0.4511757177885635,18,1,1
24,0.89428730091043,0.4474932663519509,20,1,1
25,0.8972717556621209,0.44147864783137036,15,1,1
26,0.8997071897167153,0.4364939550234923,21,1,1
27,0.8873783057637071,0.4610420181067369,12,1,1
28,0.8906640034792371,0.4546621085007388,11,1,1
29,0.8972051998736661,0.4416138916742258,14,1,1
30,0.8946082154682552,0.4468513632257417,18,1,1
31,0.8924316307467517,0.4511826508662466,18,1,1
32,0.8906472409192048,0.4546949441581774,10,1,1
33,0.9003012047516091,0.43526743586305766,15,1,1
34,0.8952767288783288,0.4455104698308664,16,1,1
35,0.8993171438088144,0.4372970098817918,18,1,1
36,0.8872520284240167,0.4612849857273352,13,1,1
37,0.8898945403274656,0.4561663151695537,11,1,1
38,0.8936233702493462,0.44881763796022967,21,1,1
39,0.8821797986796722,0.4709127337431989,15,1,1
40,0.8880340204798596,0.4597777489944204,14,1,1
41,0.8837487622390715,0.46796167069633937,15,1,1
42,0.8858170945755044,0.46403456224489564,14,1,1
43,0.8936815973187091,0.4487016855482945,20,1,1
44,0.8852187903718144,0.4651749060005943,14,1,1
45,0.8957713411431142,0.4445151340355767,18,1,1
46,0.8762679689601809,0.48182408260110826,19,1,1
47,0.8756213214154626,0.4829982416972541,20,1,1
48,0.8936085537211729,0.44884713736009674,21,1,1
49,0.8782330053496535,0.4782329853894601,16,1,1
50,0.8817721439724194,0.4716756153483906,15,1,1
51,0.8763058284067728,0.48175522322058895,19,1,1
52,0.888170426799759,0.4595141923361387,14,1,1
53,0.8920367825869551,0.4519628065581431,16,1,1
54,0.8809437395796097,0.47322101358191265,20,1,1
55,0.8797824994563161,0.4753764336295994,16,1,1
56,0.8761888943255184,0.48196786351439,20,1,1
57,0.8813468659241886,0.472469789431674,18,1,1
58,0.8744939468168549,0.48503642850891066,9,1,1
59,0.8822371041548349,0.4708053653607727,15,1,1
60,0.8882538692529047,0.4593528749852817,15,1,1
61,0.8752311688517422,0.48370486980225147,14,1,1
62,0.883090833752559,0.46920206664315744,14,1,1
63,0.8833010371383648,0.4688062262708219,13,1,1
64,0.8842371070111482,0.46703826244169233,13,1,1
65,0.886093862692725,0.46350584300339315,13,1,1
66,0.878259139142943,0.4781849898437808,16,1,1
67,0.8810930014920766,0.4729430438453276,17,1,1
68,0.8864297992974972,0.4628630584928968,11,1,1
69,0.8761474800566139,0.4820431445321524,20,1,1
70,0.8797514670887528,0.47543386096825996,17,1,1
71,0.8804903214923634,0.4740641240995511,22,1,1
72,0.8816037632043263,0.471990259119794,15,1,1
73,0.8767193151692749,0.48100233098096046,19,1,1
74,0.882256551713532,0.47076892097774253,15,1,1
75,0.8795583191469919,0.4757910919923977,17,1,1
76,0.8662271485248428,0.49965040494181523,9,1,1
77,0.8782297619107763,0.4782389416328844,16,1,1
78,0.864857692180768,0.502017103568948,10,1,1
79,0.8778189774327382,0.47899252902205236,14,1,1
80,0.8681522162600155,0.49629802478231083,15,1,1
81,0.8716359178347188,0.4901538806746585,13,1,1
82,0.8678064349525957,0.49690239630622257,18,1,1
83,0.8760502313576725,0.48221985871401923,20,1,1
84,0.8697772131497151,0.4934446265646382,6,1,1
85,0.8683019566797644,0.4960359987199443,15,1,1
86,0.8714507388651642,0.4904830371494609,12,1,1
87,0.44685811575713474,0.8946048425880463,7,1,2
88,0.5007396458142626,0.8655979477273538,5,1,3
89,0.47571418653494935,0.8795999162854617,6,1,4
90,0.4445433601306768,0.8957573337482242,6,1,2
91,0.44420989415784096,0.895922747747974,6,1,2
92,0.43137910193630086,0.9021707545762223,10,1,5
93,0.48052013092249884,0.8769836964152895,5,1,4
94,0.5035264269698784,0.8639798246156837,5,1,6
95,0.4332684415023706,0.9012649208740497,9,1,5
96,0.44667829414795557,0.8946946415046155,7,1,2
97,0.4416117724261426,0.8972062429868848,8,1,5
98,0.38113372989104366,0.9245199186276848,12,1,7
99,0.4731248570359678,0.8809953857170281,9,1,4
100,0.5058737239674458,0.8626075442513289,7,1,6
101,0.47782352526747623,0.8784558490333827,4,1,4
102,0.42061867915592555,0.9072375249873236,9,1,5
103,0.3795487435412335,0.9251717415033118,10,1,7
104,0.42234827355675586,0.9064336356422502,9,1,5
105,0.46985714839115394,0.882742465335011,6,1,4
106,0.48250643451585784,0.8758924252731006,6,1,4
107,0.37005234100718964,0.9290109067794085,10,1,7
108,0.39501428360956853,0.9186749782945106,5,1,8
109,0.4538087026016379,0.8910991310976676,9,1,4
110,0.44667071017803195,0.8946984277783506,7,1,2
111,0.4058393129213457,0.9139444469373016,7,1,9
112,0.48140283133604883,0.8764994660475474,6,1,4
113,0.35750855197703046,0.933909864635387,5,1,7
114,0.4256299461041888,0.9048973140524539,11,1,5
115,0.4950500634433278,0.8688644512723243,6,1,3
116,0.4674858354045682,0.8840005620451228,5,1,4
117,0.44120201377352264,0.8974078131163048,8,1,5
118,0.3623694980879744,0.9320345202059146,12,1,7
119,0.4267121658158397,0.9043874874990009,9,1,5
120,0.4919289782810402,0.8706353314260638,4,1,10
121,0.4518894920239318,0.8920739246264027,7,1,4
122,0.3624153754055559,0.932016682076909,10,1,7
123,0.3621131952705597,0.9321341286590388,12,1,7
124,0.42883860479997565,0.9033811216940558,10,1,5
125,0.45241410311861774,0.8918079834243338,10,1,4
126,0.4963432224397728,0.8681263764787372,7,1,3
127,0.37106090427733945,0.9286085317919941,9,1,7
128,0.4326107549636013,0.9015807976492305,11,1,5
129,0.4840907781628924,0.8750177818179727,7,1,4
130,0.5127674094129154,0.8585275673174203,2,0,41
131,0.43935039712023866,0.89831577329483,7,1,5
132,0.3897911549687239,0.9209032823853699,6,1,11
133,0.5056881657196901,0.8627163375357252,7,1,6
134,0.4953385888672719,0.8686999956135487,6,1,3
135,0.34179740625270527,0.9397736605581809,5,1,12
